Order ID,Date,Region,Product,Quantity,Unit Price,Total
1001,2024-02-18,West,Monitor,2,300,600
1002,2024-03-05,South,Mouse,3,25,75
1003,2024-02-24,South,Monitor,1,300,300
1004,2024-02-03,North,Printer,4,150,600
1005,2024-01-09,North,Monitor,4,300,1200
1006,2024-02-12,West,Printer,1,150,150
1007,2024-01-12,South,Monitor,2,300,600
1008,2024-03-01,West,Mouse,4,25,100
1009,2024-02-16,North,Laptop,4,700,2800
1010,2024-01-13,East,Monitor,3,300,900
1011,2024-02-08,East,Laptop,1,700,700
1012,2024-02-20,West,Laptop,1,700,700
1013,2024-03-08,East,Keyboard,5,50,250
1014,2024-03-27,North,Printer,2,150,300
1015,2024-01-06,North,Laptop,5,700,3500
1016,2024-02-21,East,Printer,5,150,750
1017,2024-01-24,East,Mouse,2,25,50
1018,2024-03-17,North,Monitor,4,300,1200
1019,2024-02-01,North,Monitor,4,300,1200
1020,2024-03-22,North,Mouse,1,25,25
1021,2024-02-04,West,Monitor,3,300,900
1022,2024-03-25,South,Printer,1,150,150
1023,2024-01-19,North,Printer,3,150,450
1024,2024-02-16,South,Printer,2,150,300
1025,2024-02-03,East,Printer,1,150,150
1026,2024-03-15,South,Monitor,3,300,900
1027,2024-01-28,East,Printer,5,150,750
1028,2024-02-12,South,Keyboard,4,50,200
1029,2024-01-05,North,Printer,3,150,450
1030,2024-03-22,North,Monitor,3,300,900
1031,2024-02-05,East,Mouse,5,25,125
1032,2024-01-04,South,Keyboard,3,50,150
1033,2024-03-13,West,Monitor,1,300,300
1034,2024-02-17,East,Mouse,1,25,25
1035,2024-01-04,South,Mouse,2,25,50
1036,2024-01-22,East,Laptop,2,700,1400
1037,2024-01-21,South,Keyboard,2,50,100
1038,2024-03-15,North,Monitor,3,300,900
1039,2024-03-24,East,Monitor,3,300,900
1040,2024-01-15,South,Keyboard,1,50,50
1041,2024-01-07,South,Printer,2,150,300
1042,2024-03-22,East,Mouse,2,25,50
1043,2024-03-14,West,Keyboard,1,50,50
1044,2024-01-26,North,Printer,4,150,600
1045,2024-02-05,South,Keyboard,3,50,150
1046,2024-02-25,South,Monitor,4,300,1200
1047,2024-03-01,East,Laptop,4,700,2800
1048,2024-02-21,East,Monitor,4,300,1200
1049,2024-02-18,South,Mouse,2,25,50
1050,2024-03-18,South,Printer,5,150,750
